All paths and it's time using the transport below.
Bus: false
Subwalk: false
Walk: false
Heuristic usage: algorithm.Heuristic1
N1 N2 16.34088
N1 N3 0.04908
N1 N4 0.041721
N1 N5 0.039761
N1 N6 0.045719
N1 N7 0.044121
N1 N8 0.06372
N1 N9 0.039159
N1 N10 0.0354
N1 N11 0.03644
N1 N12 0.024399
N1 N13 0.01968
N1 N14 0.01936
N1 N15 0.01912
N1 N16 0.01924
N1 N17 0.019479
N1 N18 0.0332
N1 N19 0.0194
N1 N20 0.019119
N1 N21 0.02056
N1 N22 0.01908
N1 N23 0.01916
N1 N24 0.019161
N1 N25 0.020241
N1 N26 0.0192
N1 N27 0.02096
N1 N28 0.02048
N1 N29 0.02056
N1 N30 0.01944
N2 N3 0.02304
N2 N4 0.022519
N2 N5 0.02256
N2 N6 0.022559
N2 N7 0.023561
N2 N8 0.02244
N2 N9 0.02248
N2 N10 0.9086
N2 N11 0.02708
N2 N12 0.01992
N2 N13 0.021079
N2 N14 0.020161
N2 N15 0.01992
N2 N16 0.02136
N2 N17 0.02444
N2 N18 0.02092
N2 N19 0.019121
N2 N20 0.01868
N2 N21 0.05376
N2 N22 0.019001
N2 N23 0.01892
N2 N24 0.019039
N2 N25 0.020599
N2 N26 0.01892
N2 N27 0.0192
N2 N28 0.018959
N2 N29 0.01892
N2 N30 0.01908
N3 N4 0.02076
N3 N5 0.01996
N3 N6 0.02172
N3 N7 0.020241
N3 N8 0.021479
N3 N9 0.0202
N3 N10 0.02136
N3 N11 0.02016
N3 N12 0.02012
N3 N13 0.020439
N3 N14 0.0204
N3 N15 0.020201
N3 N16 0.02576
N3 N17 0.02064
N3 N18 0.0202
N3 N19 0.021599
N3 N20 0.020121
N3 N21 0.02036
N3 N22 0.02024
N3 N23 0.02028
N3 N24 0.03196
N3 N25 0.02372
N3 N26 0.02156
N3 N27 0.48488
N3 N28 0.022601
N3 N29 0.0184
N3 N30 0.01832
N4 N5 0.01448
N4 N6 0.014279
N4 N7 0.0144
N4 N8 0.01424
N4 N9 0.014241
N4 N10 0.014081
N4 N11 0.014281
N4 N12 0.0156
N4 N13 0.0144
N4 N14 0.014361
N4 N15 0.0156
N4 N16 0.0142
N4 N17 0.01452
N4 N18 0.014321
N4 N19 0.014239
N4 N20 0.01412
N4 N21 0.0144
N4 N22 0.0142
N4 N23 0.02132
N4 N24 0.0146
N4 N25 0.0156
N4 N26 0.015719
N4 N27 0.015999
N4 N28 0.0156
N4 N29 0.01556
N4 N30 0.02972
N5 N6 0.01584
N5 N7 0.016639
N5 N8 0.0152
N5 N9 0.35868
N5 N10 0.0162
N5 N11 0.01528
N5 N12 0.015159
N5 N13 0.0156
N5 N14 0.01536
N5 N15 0.01512
N5 N16 0.015241
N5 N17 0.0154
N5 N18 0.01532
N5 N19 0.01516
N5 N20 0.0152
N5 N21 0.01524
N5 N22 0.015321
N5 N23 0.01532
N5 N24 0.01532
N5 N25 0.015401
N5 N26 0.015281
N5 N27 0.01576
N5 N28 0.015359
N5 N29 0.015279
N5 N30 0.01548
N6 N7 0.021239
N6 N8 0.016959
N6 N9 0.016241
N6 N10 0.01608
N6 N11 0.020359
N6 N12 0.016079
N6 N13 0.016361
N6 N14 0.01632
N6 N15 0.01608
N6 N16 0.01624
N6 N17 0.017361
N6 N18 0.016161
N6 N19 0.016241
N6 N20 0.01616
N6 N21 0.016319
N6 N22 0.01628
N6 N23 0.01612
N6 N24 0.01628
N6 N25 0.01628
N6 N26 0.01616
N6 N27 0.016441
N6 N28 0.01636
N6 N29 0.01632
N6 N30 0.016439
N7 N8 0.01704
N7 N9 0.01516
N7 N10 0.01512
N7 N11 0.01512
N7 N12 0.015161
N7 N13 0.01556
N7 N14 0.01764
N7 N15 0.015199
N7 N16 0.0154
N7 N17 0.01548
N7 N18 0.01632
N7 N19 0.0152
N7 N20 0.01512
N7 N21 0.0152
N7 N22 0.015161
N7 N23 0.015239
N7 N24 0.16668
N7 N25 0.015361
N7 N26 0.01512
N7 N27 0.015321
N7 N28 0.015159
N7 N29 0.0152
N7 N30 0.015281
N8 N9 0.01632
N8 N10 0.0158
N8 N11 0.016799
N8 N12 0.02724
N8 N13 0.01844
N8 N14 0.01616
N8 N15 0.016039
N8 N16 0.01596
N8 N17 0.01764
N8 N18 0.01636
N8 N19 0.016079
N8 N20 0.01592
N8 N21 0.01608
N8 N22 0.016119
N8 N23 0.01608
N8 N24 0.01608
N8 N25 0.01608
N8 N26 0.385321
N8 N27 0.01884
N8 N28 0.01572
N8 N29 0.01528
N8 N30 0.0156
N9 N10 0.043
N9 N11 0.03484
N9 N12 0.0154
N9 N13 0.01548
N9 N14 0.01532
N9 N15 0.01636
N9 N16 0.015079
N9 N17 0.015279
N9 N18 0.29368
N9 N19 0.015
N9 N20 0.01472
N9 N21 0.014799
N9 N22 0.014879
N9 N23 0.01616
N9 N24 0.01612
N9 N25 0.01612
N9 N26 0.014881
N9 N27 0.01512
N9 N28 0.014881
N9 N29 0.01476
N9 N30 0.015001
N10 N11 0.01744
N10 N12 0.014521
N10 N13 0.01324
N10 N14 0.01328
N10 N15 0.01296
N10 N16 0.013201
N10 N17 0.014719
N10 N18 0.63232
N10 N19 0.012759
N10 N20 0.01144
N10 N21 0.011081
N10 N22 0.011161
N10 N23 0.01104
N10 N24 0.01104
N10 N25 0.011241
N10 N26 0.01112
N10 N27 0.0128
N10 N28 0.011201
N10 N29 0.011241
N10 N30 0.011439
N11 N12 0.01304
N11 N13 0.01428
N11 N14 0.01276
N11 N15 0.0126
N11 N16 0.01264
N11 N17 0.01288
N11 N18 0.0126
N11 N19 0.012561
N11 N20 0.012521
N11 N21 0.012519
N11 N22 0.01264
N11 N23 0.012639
N11 N24 0.012639
N11 N25 0.01264
N11 N26 0.01264
N11 N27 0.012879
N11 N28 0.01256
N11 N29 0.014
N11 N30 0.01288
N12 N13 0.012001
N12 N14 5.3138
N12 N15 0.14488
N12 N16 0.008
N12 N17 0.00692
N12 N18 0.00652
N12 N19 0.0066
N12 N20 0.007001
N12 N21 0.00668
N12 N22 0.00664
N12 N23 0.00648
N12 N24 0.0066
N12 N25 0.006721
N12 N26 0.006439
N12 N27 0.00812
N12 N28 0.0066
N12 N29 0.0066
N12 N30 0.00676
N13 N14 0.01024
N13 N15 0.007639
N13 N16 0.0076
N13 N17 0.0078
N13 N18 0.0076
N13 N19 0.00764
N13 N20 0.007639
N13 N21 0.00768
N13 N22 0.0076
N13 N23 0.00764
N13 N24 0.008
N13 N25 0.007761
N13 N26 0.007679
N13 N27 0.00796
N13 N28 0.007881
N13 N29 0.00764
N13 N30 0.01632
N14 N15 0.00924
N14 N16 0.00816
N14 N17 0.00828
N14 N18 0.00804
N14 N19 0.008081
N14 N20 0.007999
N14 N21 0.008121
N14 N22 0.00804
N14 N23 0.007959
N14 N24 0.008039
N14 N25 0.009481
N14 N26 0.007961
N14 N27 0.008321
N14 N28 0.008519
N14 N29 0.00804
N14 N30 0.00916
N15 N16 0.01332
N15 N17 0.009321
N15 N18 0.0086
N15 N19 0.0086
N15 N20 0.007361
N15 N21 0.0076
N15 N22 0.00732
N15 N23 0.00732
N15 N24 0.00744
N15 N25 0.007481
N15 N26 0.0074
N15 N27 0.007559
N15 N28 0.007399
N15 N29 0.00744
N15 N30 0.00888
N16 N17 0.00868
N16 N18 0.00824
N16 N19 0.0082
N16 N20 0.00692
N16 N21 0.00692
N16 N22 0.00692
N16 N23 0.00696
N16 N24 0.00708
N16 N25 0.669001
N16 N26 0.013881
N16 N27 0.02236
N16 N28 0.00624
N16 N29 0.00608
N16 N30 0.00632
N17 N18 0.00784
N17 N19 0.0072
N17 N20 0.00696
N17 N21 0.00716
N17 N22 0.006999
N17 N23 0.007041
N17 N24 0.007001
N17 N25 0.00724
N17 N26 0.007041
N17 N27 0.00724
N17 N28 0.036601
N17 N29 0.00744
N17 N30 0.00724
N18 N19 0.007319
N18 N20 0.00724
N18 N21 0.00612
N18 N22 0.00604
N18 N23 0.00604
N18 N24 0.00608
N18 N25 0.01044
N18 N26 0.00608
N18 N27 0.006401
N18 N28 0.00604
N18 N29 0.00608
N18 N30 0.006201
N19 N20 0.006039
N19 N21 0.00704
N19 N22 0.006
N19 N23 0.01052
N19 N24 0.006401
N19 N25 0.005999
N19 N26 0.00604
N19 N27 0.006281
N19 N28 0.00616
N19 N29 0.006079
N19 N30 0.014441
N20 N21 0.00676
N20 N22 0.01872
N20 N23 0.00656
N20 N24 0.00616
N20 N25 0.00624
N20 N26 0.00612
N20 N27 0.0064
N20 N28 0.00604
N20 N29 0.006001
N20 N30 0.00624
N21 N22 0.006321
N21 N23 0.00596
N21 N24 0.006
N21 N25 0.006
N21 N26 0.007039
N21 N27 0.0062
N21 N28 0.00604
N21 N29 0.005961
N21 N30 0.006119
N22 N23 0.00596
N22 N24 0.006
N22 N25 0.00608
N22 N26 0.0076
N22 N27 0.00616
N22 N28 0.00596
N22 N29 0.00588
N22 N30 0.00616
N23 N24 0.00784
N23 N25 0.00624
N23 N26 0.00616
N23 N27 0.006319
N23 N28 0.00604
N23 N29 0.00732
N23 N30 0.00636
N24 N25 0.006201
N24 N26 0.00596
N24 N27 0.006279
N24 N28 0.00596
N24 N29 0.006
N24 N30 0.006119
N25 N26 0.00608
N25 N27 0.00724
N25 N28 0.006
N25 N29 0.00708
N25 N30 0.00624
N26 N27 0.00728
N26 N28 0.00596
N26 N29 0.00588
N26 N30 0.00608
N27 N28 0.00648
N27 N29 0.00616
N27 N30 0.00628
N28 N29 0.005959
N28 N30 0.006039
N29 N30 0.00624
Average time of calculate path: 0.07267193
Max time of calculate path: 16.34088
------------------------------------------------------
All paths and it's time using the transport below.
Bus: false
Subwalk: false
Walk: true
Heuristic usage: algorithm.Heuristic1
N30 N30 0.029561
N30 N2 3.58772
N30 N3 0.929841
N30 N4 1.44268
N30 N5 1.728639
N30 N6 2.1594
N30 N7 0.395
N30 N8 1.5012
N30 N9 0.83652
N30 N10 1.54284
N30 N11 0.43504
N30 N12 2.03332
N30 N13 1.10012
N30 N14 0.04028
N30 N15 0.099199
N30 N16 3.01088
N30 N17 0.343079
N30 N18 0.921119
N30 N19 1.71892
N30 N20 2.4932
N30 N21 2.271801
N30 N22 0.70428
N30 N23 2.37248
N30 N24 0.854279
N30 N25 0.64784
N30 N26 0.48748
N30 N27 1.232
N30 N28 1.55488
N30 N29 0.601239
N30 N30 0.00428
N30 N30 0.00464
N30 N3 0.2054
N30 N4 0.38744
N30 N5 0.3296
N30 N6 0.41372
N30 N7 0.155
N30 N8 0.314801
N30 N9 0.1542
N30 N10 0.38928
N30 N11 0.37608
N30 N12 0.5108
N30 N13 0.21636
N30 N14 0.014519
N30 N15 0.03448
N30 N16 0.20224
N30 N17 0.05004
N30 N18 0.28356
N30 N19 0.95504
N30 N20 0.84544
N30 N21 0.45244
N30 N22 0.46556
N30 N23 0.38532
N30 N24 0.444639
N30 N25 5.35308
N30 N26 0.327281
N30 N27 3.43224
N30 N28 0.2404
N30 N29 0.21756
N30 N30 0.003641
N30 N30 0.00348
N30 N4 2.704441
N30 N5 0.817
N30 N6 0.147241
N30 N7 0.0498
N30 N8 1.997881
N30 N9 0.081041
